ID,起票日,カテゴリ,種別,タイトル,課題詳細,対応方針_案,ステータス,優先度,関連施策,タスク化先,対応方針_確定,確定日,備考,詳細ファイル
ISS-050,2026-03-08,設定,知見,deny リスト設計時は Read/Write/Edit の3ツール網羅的考慮が必要,本施策で Edit deny 欠落を発見・修正。さらに評価時に Write *.pem/*.key 欠落も発見。人的チェックだけでは再発する。,rule-change-checklist に対称性チェック項目を追加することで防止。,起票,中,cli-permission-verification,,,,,
ISS-051,2026-03-09,ツール,不具合,gh -C <path> が gh CLI でサポートされていない,gh CLI v2.87.3 で gh -C を実行すると unknown shorthand flag エラー。session-start-branch-cleanup.md ステップ6と l1-manager.md クローズ手順ステップ7に影響。,[案] gh -C の記載を cd <path> && gh pr list/create に変更する。,クローズ,中,external-repo-branch-pr-rules,,session-start-branch-cleanup.md で cd <path> && gh に修正済み,2026-03-09,トリアージ20260309で修正確認・クローズ,issues/entries/ISS-051.md
ISS-052,2026-03-11,プロセス,改善提案,gate_review ルーティング宣言の未実行率22%（12/55件）,MC-002/MC-005 の走査で gate_review の横展開セクションのルーティング宣言55件中12件が未実行。チェックリストの確認が形骸化。,[案] l1-manager クローズ手順でルーティング実行確認を自己申告から実在確認に強化する。,起票,中,メタ認知20260311,,,,MC-005で検出,
ISS-053,2026-03-11,プロセス,知見,知見型 CSV ルーティングが構造的に転記漏れしやすい,CSV ルーティング12件のうち ISS-ID 明示のものは100%転記済みだが ISS-ID なしの知見型3件は全て未転記。ISS-ID がないと転記対象として認識されにくい。,[案] CSV ルーティング宣言時に知見型でも ISS-ID を事前割当。またはクローズ手順で突合チェック。,起票,中,メタ認知20260311,,,,MC-005で検出,
ISS-054,2026-03-11,プロセス,改善提案,rule-change-checklist の grep 走査対象に docs/ が未含有,MC-001 で12施策以上にわたり docs/ 配下のガイド文書に旧パス参照が残存する問題が繰り返し報告。rule-change-checklist の走査対象に docs/ が明示されていないことが根本原因。,[案] rule-change-checklist SKILL.md の grep 走査対象リストに docs/ を明示追加する。,起票,中,メタ認知20260311,,,,MC-001パターン4で検出,
ISS-055,2026-03-11,プロセス,改善提案,CSV ステータス更新漏れの検出・防止メカニズムが未整備,ルール修正で ISS が解消されても CSV ステータスが「起票」のまま残存するパターンが確認。ルール変更時の連動更新チェックリストに CSV ステータス更新が含まれていない。,[案] rule-change-checklist に CSV 課題ステータス更新の項目追加。またはトリアージ TG 走査項目に棚卸し追加。,起票,中,メタ認知20260311,,,,MC-001パターン6で検出,
ISS-056,2026-03-12,プロセス,改善提案,manager-common-policy §1 適用対象テーブルに l1-impl-manager が未追加,l1-impl-manager が manager-common-policy §2-§8 を参照しているが §1 の適用対象テーブルに未登録。適用対象一覧が実態と乖離。,[案] manager-common-policy §1 テーブルに l1-impl-manager を追加する。,起票,低,l1-impl-manager-session,,,,,issues/entries/ISS-056.md
ISS-057,2026-03-12,ドキュメント,改善提案,triage-standard-policy §3.2 のカテゴリラベル「E」が重複,§3.2 チェック項目で「E. 停止ルール・スコープチェック」と「E. メタルール横断整合性チェック」の2つが同じ E ラベル。カテゴリの一意性が保たれていない。,[案] 2つ目の E を F にリネームする。,起票,低,l1-impl-manager-session,,,,,issues/entries/ISS-057.md
ISS-058,2026-03-13,プロセス,改善提案,GHA ワークフローの run ブロックで ${{ }} 式を直接展開すべきでない,backlog-auto-execute.yml の close/edit ステップで ${{ github.event.issue.number }} をシェルコマンドに直接展開。整数値のため実害低だが env 経由パターンとの一貫性がなく今後のコピー時にインジェクションリスク。,[案] close/edit ステップを env 経由に修正。GHA ワークフロー作成チェックリストに run 内 ${{ }} 禁止を追加。,起票,低,backlog-auto-initiative-gha,,,,,issues/entries/ISS-058.md
ISS-059,2026-03-15,ツール,リスク,GHA ワークフローのユーザー入力 JSON 構築にシェルインジェクションリスク,initiative-dispatcher.yml で ARGS 変数を JSON に直接展開し eval で実行。ユーザー入力に特殊文字が含まれる場合にシェルインジェクション成立の可能性。,[案] jq --arg による JSON エスケープ使用、または JSON 構築を廃止し -f フラグ直接構築。eval の使用を禁止。,起票,高,initiative-dispatcher,,,,,issues/entries/ISS-059.md
ISS-060,2026-03-15,プロセス,改善提案,新セッションタイプ追加時の manager-common-policy §1/§9 連動更新漏れ,config-optimizer-manager 追加時に manager-common-policy §1 を更新したが automation-manager が脱落。§9 関連ファイル一覧も automation/config-optimizer 双方が欠落。workflow.md は逆に config-optimizer を含まない。,[案] session-flow-policy §5.1 チェックリストに「manager-common-policy §1/§9 更新」を追加。§1 と §9 の対応関係検証も含める。,起票,中,triage/20260315,,,,,issues/entries/ISS-060.md
